File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\js\myScript.js,141,96,81,7,26,0,19,34,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\js\product.js,9,8,8,0,0,0,1,3,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\js\slider.js,97,84,71,10,13,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\js\gclibrary\core.js,9,9,8,2,0,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\js\gclibrary\core1.js,876,872,5594,3,4,0,0,0,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\build\web\js\gclibrary\jsapi.js,39,38,343,3,1,2,0,2,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\jLibsEssentials\saikiran_enterprises.sql,615,466,0,0,61,7,88,175,8,22
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\admin\addAnAdministrator.java,209,135,109,7,26,4,48,228,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\admin\administrator.java,45,30,24,3,7,0,8,24,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\admin\registerServlet.java,207,134,108,7,24,4,49,227,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\cart\cart.java,322,183,152,27,50,3,89,374,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\cart\DB_Conn.java,48,29,21,4,10,0,9,24,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\database\DB_Conn.java,48,29,21,4,10,0,9,24,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\helpers\EmailValidator.java,66,24,20,1,10,0,32,75,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\helpers\SecureSHA1.java,94,41,32,4,11,0,42,131,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\helpers\StringSlasher.java,39,15,11,1,5,0,19,46,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\loginRegister\admin_login.java,184,114,93,6,16,1,54,258,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\loginRegister\changeMyPass.java,139,83,64,4,12,1,44,186,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\loginRegister\changeMyPassword.java,131,76,61,3,11,1,44,186,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\loginRegister\loginServlet.java,178,110,89,6,17,1,51,225,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\loginRegister\registerServlet.java,207,134,108,7,24,4,49,227,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\loginRegister\_logoutServlet.java,104,43,31,1,7,1,54,240,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\orders\changeProductStatus.java,215,122,98,7,33,1,60,238,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\addCategory.java,147,80,60,4,12,1,55,258,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\addCompany.java,134,69,53,3,15,1,50,208,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\addProduct.java,234,151,96,4,17,1,66,247,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\addSubCategory.java,149,76,59,4,17,1,56,272,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\buyItems.java,367,201,137,12,56,7,110,468,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\getProductSubCategory.java,123,65,49,2,9,1,49,195,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\product.java,146,114,89,13,24,0,8,24,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\productBean.java,86,59,42,8,19,0,8,24,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\removeCartProduct.java,135,71,58,1,11,1,53,198,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\removeCategory.java,156,95,77,5,16,1,45,187,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\removeCompany.java,158,96,78,5,16,1,46,195,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\removeSubCategory.java,157,96,78,5,15,1,46,195,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\product\addProductPack\getCompanyNames.java,95,44,32,1,7,1,44,186,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\user\addUserDetalsServlet.java,207,133,96,6,17,2,57,244,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\src\java\user\user.java,107,86,72,10,12,0,9,32,4,18
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\addProductFilters.jsp,23,17,7,2,2,0,4,20,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\addToCart.jsp,196,161,51,5,33,1,2,12,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\addToCart_view.jsp,181,148,40,3,31,1,2,12,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_.jsp,75,64,2,1,11,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct.jsp,162,113,33,2,22,1,27,79,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct_1.jsp,208,170,53,3,36,1,2,21,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct_2.jsp,268,230,69,5,36,1,2,17,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct_3.jsp,220,188,75,5,32,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct_4.jsp,243,173,58,6,29,1,41,100,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct_controller.jsp,165,116,34,2,22,1,27,79,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_addProduct_Insert.jsp,168,116,35,3,18,0,34,87,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_approvedOrders.jsp,242,185,33,5,35,1,22,83,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_changeProductInfo.jsp,250,194,43,5,34,1,22,80,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_deleteImage.jsp,130,100,20,4,24,1,6,23,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_deleteProduct.jsp,114,88,19,4,18,1,8,37,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_deliveredOrders.jsp,249,184,33,5,43,1,22,83,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_manageProduct.jsp,391,324,92,9,48,1,19,61,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_manageProduct_1.jsp,137,98,32,3,22,0,17,33,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_pendingOrders.jsp,245,187,33,5,36,1,22,83,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_Performance.jsp,150,124,40,8,26,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\admin_settings.jsp,226,198,28,6,27,1,1,9,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\buyItems.jsp,159,146,26,3,11,1,2,12,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\cartPage.jsp,154,129,2,1,25,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\contact-support.jsp,142,123,34,2,18,1,1,7,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\error_200.jsp,59,48,2,1,11,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\error_403.jsp,59,48,2,1,11,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\error_404.jsp,58,47,2,1,11,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\error_500.jsp,58,48,2,1,10,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\faq.jsp,183,171,2,1,12,1,0,6,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\findProductLoad.jsp,151,81,30,6,25,0,45,129,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\findProductLoad_1.jsp,128,81,30,6,27,0,20,62,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\index.jsp,217,129,12,2,87,1,1,14,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\message.jsp,71,48,4,2,21,1,2,19,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\product.jsp,208,149,31,4,57,1,2,14,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\productInsert.jsp,324,270,27,4,53,4,1,25,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\productInsertImages.jsp,142,121,23,5,19,1,2,19,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\productInsert_1.jsp,322,270,27,4,51,4,1,25,0,0
E:\KULIAH\smt6\Software Quality Assurance\saikiranBookstoreApp-master\web\removeProductFilter.jsp,17,15,5,2,2,0,0,0,0,0
